Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
CARRIER,GA8TAN536**WA*,CVAMA3617XMA*,58TN*B070C17**16,217595624,35400,16,,,No
CARRIER,26TPA836W**30*,CVAMA3617XMA*,58TN*B070C17**16,217595623,35400,16,,,No
CARRIER,GA5SAN560**WA*,CVAVA6124XMA*,59TN7A100C21**22,217588578,58000,14.5,,,No
CARRIER,26SPA660W**30*,CVAVA6124XMA*,59TN7A100C21**22,217588577,58000,14.5,,,No
CARRIER,26SCA560W**30*,CVAVA6124XMA*,59TN7A100C21**22,217588576,58000,14.5,,,No
CARRIER,GA5SAN560**WA*,CVAVA6024XMA*,59TP7A120V24**22,217588551,57000,14.3,,,No
CARRIER,26SPA660W**30*,CVAVA6024XMA*,59TP7A120V24**22,217588550,57000,14.3,,,No
CARRIER,26SCA560W**30*,CVAVA6024XMA*,59TP7A120V24**22,217588549,57000,14.3,,,No
CARRIER,GA5SAN560**WA*,CVAVA6021XMA*,59TN7A100C21**22,217588525,57500,14.3,,,No
CARRIER,26SPA660W**30*,CVAVA6021XMA*,59TN7A100C21**22,217588524,57500,14.3,,,No
CARRIER,26SCA560W**30*,CVAVA6021XMA*,59TN7A100C21**22,217588523,57500,14.3,,,No
CARRIER,GA5SAN560**WA*,CVAMA6021XMA*,58CU*B100C21**20,217588499,57500,14.5,,,No
CARRIER,26SPA660W**30*,CVAMA6021XMA*,58CU*B100C21**20,217588498,57500,14.5,,,No
CARRIER,26SCA560W**30*,CVAMA6021XMA*,58CU*B100C21**20,217588497,57500,14.5,,,No
CARRIER,GA5SAN560**WA*,CSAH*6012AM*,59TN7A100C21**22,217588473,58000,14.5,,,No
CARRIER,26SPA660W**30*,CSAH*6012AM*,59TN7A100C21**22,217588472,58000,14.5,,,No
CARRIER,26SCA560W**30*,CSAH*6012AM*,59TN7A100C21**22,217588471,58000,14.5,,,No
CARRIER,GA5SAN560**WA*,CAA**6124AM*,59TN7A100C21**22,217588447,59000,14.5,,,No
